timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence,lat,lon,alt,alt_ellipsoid
80835159,,,,,36.65382078,126.2967022,-2.0942733,15.780431
80836558,1.6073792,1.6287076,23.691296,1,,,,
80848145,1.5049138,1.5249048,23.694155,1,,,,
80858526,1.3803416,1.3987322,23.708447,1,,,,
80869469,1.2348511,1.2512244,23.688437,1,,,,
80880630,1.0571618,1.0711144,23.652706,1,,,,
80892697,0.81355405,0.82431793,23.651276,1,,,,
80904660,0.4136396,0.41910914,23.655563,1,,,,
80917124,-0.5699946,-0.5775303,23.651276,1,,,,
80928574,-0.89726865,-0.90919673,23.694155,1,,,,
80938529,-1.1251805,-1.1401439,23.699871,1,,,,
80949714,-1.3034883,-1.3207808,23.695583,1,,,,
80959437,-1.4468565,-1.4660546,23.697012,1,,,,
80970519,-1.5653393,-1.58616,23.7013,1,,,,
80981754,-1.6613389,-1.6834081,23.691296,1,,,,
80993467,-1.7360598,-1.7589858,23.651276,1,,,,
81003508,-1.7982401,-1.8220277,23.646988,1,,,,
81014729,-1.8550705,-1.8796053,23.64556,1,,,,
81025924,-1.9050426,-1.9301541,23.628408,1,,,,
81035960,,,,,36.65382064,126.2967024,-2.0877323,15.789333
81038692,-1.946081,-1.9718235,23.661282,1,,,,
81049851,-1.9739105,-2.0001373,23.687008,1,,,,
81062731,-1.984311,-2.0106857,23.689867,1,,,,
81074538,-1.9799465,-2.0063019,23.69844,1,,,,
81086997,-1.9637339,-1.9898391,23.699871,1,,,,
81098546,-1.9357711,-1.9613293,23.652706,1,,,,
81110488,-1.9009746,-1.9260641,23.649847,1,,,,
81121527,-1.8671345,-1.8918005,23.648418,1,,,,
81132566,-1.8371058,-1.8613751,23.648418,1,,,,
81146270,-1.8106002,-1.8345644,23.654135,1,,,,
81158489,-1.7886171,-1.8123995,23.689867,1,,,,
81170066,-1.7706324,-1.7941976,23.691296,1,,,,
81180561,-1.7484462,-1.7717332,23.697012,1,,,,
81192599,-1.7155619,-1.738355,23.7013,1,,,,
81204569,-1.6805493,-1.7027588,23.651276,1,,,,
81218066,-1.6581944,-1.6801457,23.649847,1,,,,
81228568,-1.6538732,-1.6757673,23.649847,1,,,,
81242063,-1.6625718,-1.6844692,23.648418,1,,,,
81244759,,,,,36.65382049,126.2967026,-2.0843093,15.794419
81252588,-1.6759216,-1.697999,23.649847,1,,,,
81266254,-1.6914319,-1.7138548,23.687008,1,,,,
81278524,-1.7086102,-1.7312737,23.68558,1,,,,
